Test set labels 	 Predicted labels
1	-1
1	1
-1	-1
-1	-1
1	1
-1	-1
-1	-1
-1	-1
1	1
1	1
1	1
1	1
1	1
-1	-1
1	1
1	1
-1	-1
1	1
1	1
1	1
1	1
1	1
-1	-1
1	1
1	1
1	1
-1	-1
-1	-1
1	1
1	1
1	1
-1	-1
-1	-1
-1	-1
1	1
1	1
-1	-1
1	1
-1	-1
1	1
1	1
1	1
1	1
-1	-1
1	1
1	1
1	1
-1	-1
1	1
1	1
-1	-1
-1	-1
-1	-1
1	1
1	1
1	1
1	1
-1	-1
-1	-1
1	1
1	1
1	1
-1	-1
1	1
1	1
1	1
1	1
1	1
-1	-1
1	1
1	1
1	1
-1	-1
-1	-1
-1	-1
1	1
-1	-1
-1	-1
1	1
1	1
1	1
1	1
1	1
1	1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
-1	-1
1	1
-1	-1
1	1
-1	-1
1	1
-1	-1
1	1
-1	-1
-1	-1
1	1
1	1
1	1
-1	-1
-1	-1
1	1
1	1
1	1
1	1
-1	-1
1	1
-1	-1
1	1
1	1
1	-1
1	1
-1	-1
1	1
-1	-1
-1	-1
1	1
-1	-1
-1	-1
-1	-1
-1	-1
1	1
-1	-1
1	1
1	1
1	1
-1	-1
-1	-1
-1	-1
-1	-1
1	1
1	1
-1	-1
1	1
-1	-1
1	-1
-1	-1
1	-1
1	1
1	1
1	1
1	1
1	1
1	1
-1	-1
-1	-1
1	1
1	1
1	1
1	1
1	1
-1	-1
-1	-1
1	1
1	1
1	1
-1	-1
1	1
1	1
1	1
1	1
1	1
1	1
-1	-1
-1	-1
1	1
1	1
-1	-1
1	1
-1	-1
1	1
1	1
-1	-1
-1	-1
1	1
1	1
-1	-1
1	1
1	1
1	1
1	1
1	1
-1	-1
-1	-1
-1	-1
1	1
1	1
-1	-1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
-1	-1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
-1	-1
1	1
1	1
1	1
-1	-1
1	1
-1	-1
1	1
1	1
1	1
-1	-1
-1	-1
1	1
1	1
-1	-1
1	1
1	1
1	1
-1	-1
1	1
1	1
-1	-1
-1	-1
1	1
-1	-1
1	1
-1	-1
1	1
1	1
1	1
-1	-1
-1	-1
1	1
-1	-1
1	1
1	1
1	1
1	1
-1	-1
1	1
-1	-1
-1	-1
1	1
1	1
1	1
1	1
1	1
-1	-1
1	1
-1	-1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
-1	-1
-1	-1
1	1
1	1
-1	-1
-1	-1
1	1
1	1
1	1
-1	-1
1	1
-1	-1
-1	-1
1	1
-1	-1
1	1
-1	-1
1	1
-1	-1
1	1
-1	-1
1	-1
-1	-1
1	-1
1	1
1	1
-1	-1
1	1
-1	-1
-1	-1
1	1
1	1
1	1
-1	-1
1	1
1	1
1	1
1	1
1	1
-1	-1
1	1
1	1
-1	-1
1	1
-1	-1
1	1
1	1
1	1
-1	-1
1	1
1	1
1	1
1	1
-1	-1
-1	-1
1	1
1	1
1	1
1	1
-1	-1
1	-1
-1	-1
1	1
1	1
-1	-1
-1	-1
-1	-1
-1	-1
1	1
1	1
1	1
1	1
1	1
-1	-1
1	1
-1	-1
1	1
1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
1	1
1	1
1	1
1	1
-1	-1
1	1
-1	-1
1	1
-1	-1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
-1	-1
-1	-1
-1	-1
-1	-1
1	1
1	1
-1	-1
1	1
1	1
-1	-1
1	1
-1	-1
1	1
-1	-1
1	1
-1	-1
1	1
1	1
-1	-1
-1	-1
1	1
1	1
-1	-1
1	1
-1	-1
1	1
-1	-1
-1	-1
-1	-1
1	1
-1	-1
1	1
1	1
-1	-1
-1	-1
1	1
-1	-1
1	1
1	1
-1	-1
-1	-1
-1	-1
1	1
-1	-1
-1	-1
1	1
1	1
-1	-1
-1	-1
